image,width,height,method,psnr,time_idct_ms,time_total_ms,time_dct_ms,time_upsample_ms
21.png,768,512,baseline,33.376769771501536,345.34502029418945,1004.0562152862549,561.6214275360107,2.6531219482421875
21.png,768,512,vectorized,33.376769771501536,246.42705917358398,970.4959392547607,626.3127326965332,4.031896591186523
21.png,768,512,direct,33.376769771501536,254.64773178100586,934.1936111450195,583.1565856933594,2.5196075439453125
21.png,768,512,separable,33.376769771501536,28210.27946472168,28919.663429260254,615.2019500732422,2.0799636840820312
21.png,768,512,lut,33.376769771501536,96843.09148788452,97545.15552520752,609.7052097320557,2.0112991333007812
21.png,768,512,fft,30.23513369902881,2463.472604751587,3143.6686515808105,585.3946208953857,2.343416213989258
21.png,768,512,aan,28.16527998991106,294.6183681488037,994.6620464324951,605.6761741638184,2.0346641540527344
22.png,768,512,baseline,33.168847276153805,354.2790412902832,1079.254150390625,631.3295364379883,2.068042755126953
22.png,768,512,vectorized,33.168847276153805,250.88834762573242,992.4886226654053,647.676944732666,3.0121803283691406
22.png,768,512,direct,33.168847276153805,255.32865524291992,941.8578147888184,592.4215316772461,3.0219554901123047
22.png,768,512,separable,33.168847276153805,27912.807941436768,28620.550394058228,612.2386455535889,1.0035037994384766
22.png,768,512,lut,33.168847276153805,96592.01669692993,97304.30340766907,616.2362098693848,2.5205612182617188
22.png,768,512,fft,29.433406740963996,2404.787540435791,3121.019124984741,624.2098808288574,2.008676528930664
22.png,768,512,aan,27.817030762673127,290.3399467468262,997.755765914917,611.473560333252,2.006053924560547
23.png,768,512,baseline,35.91661771509859,340.19970893859863,1008.3222389221191,574.3381977081299,3.0236244201660156
23.png,768,512,vectorized,35.91661771509859,233.41608047485352,866.4560317993164,536.4987850189209,3.520965576171875
23.png,768,512,direct,35.91661771509859,240.78965187072754,879.7094821929932,542.39821434021,2.0792484283447266
23.png,768,512,separable,35.91661771509859,28207.082271575928,28813.96985054016,510.56408882141113,1.2552738189697266
23.png,768,512,lut,35.91661771509859,96296.2293624878,96930.55844306946,540.34423828125,2.757549285888672
23.png,768,512,fft,31.200257736049245,2432.443380355835,3087.2886180877686,555.8271408081055,2.5119781494140625
23.png,768,512,aan,27.7935358579003,278.62548828125,913.3076667785645,541.938066482544,2.203702926635742
24.png,768,512,baseline,32.79682583019154,364.9179935455322,1111.5434169769287,650.4302024841309,2.0101070404052734
24.png,768,512,vectorized,32.79682583019154,257.4954032897949,1006.9091320037842,654.5572280883789,2.3336410522460938
24.png,768,512,direct,32.79682583019154,260.4389190673828,1031.8236351013184,668.4861183166504,2.0368099212646484
24.png,768,512,separable,32.79682583019154,28011.74807548523,28772.2110748291,664.4647121429443,3.0100345611572266
24.png,768,512,lut,32.79682583019154,95709.01274681091,96470.81160545349,667.4387454986572,2.6412010192871094
24.png,768,512,fft,29.22924479189568,2429.6116828918457,3193.596363067627,660.9244346618652,2.5055408477783203
24.png,768,512,aan,28.031068310082752,303.9834499359131,1056.3340187072754,655.2982330322266,1.5056133270263672
3.png,768,512,baseline,35.635469137873564,339.4293785095215,967.4637317657471,535.4061126708984,3.087282180786133
3.png,768,512,vectorized,35.635469137873564,229.0966510772705,860.8229160308838,534.9235534667969,3.026247024536133
3.png,768,512,direct,35.635469137873564,238.0390167236328,905.4310321807861,566.8618679046631,3.5848617553710938
3.png,768,512,separable,35.635469137873564,28028.581380844116,28675.312757492065,546.0739135742188,2.0003318786621094
3.png,768,512,lut,35.635469137873564,95878.48210334778,96508.63552093506,537.9431247711182,2.5103092193603516
3.png,768,512,fft,31.162026340566406,2420.523166656494,3077.198266983032,563.4727478027344,2.0203590393066406
3.png,768,512,aan,27.939848426663055,279.8173427581787,921.989917755127,546.1938381195068,3.676176071166992
4.png,512,768,baseline,34.1399006404665,345.9153175354004,1017.2543525695801,574.5718479156494,1.5125274658203125
4.png,512,768,vectorized,34.1399006404665,243.4098720550537,929.2726516723633,591.3324356079102,2.6094913482666016
4.png,512,768,direct,34.1399006404665,245.68700790405273,904.3653011322021,564.246416091919,2.5293827056884766
4.png,512,768,separable,34.1399006404665,27932.548761367798,28620.514392852783,592.8752422332764,1.5041828155517578
4.png,512,768,lut,34.1399006404665,96094.05851364136,96764.49155807495,577.8801441192627,2.4378299713134766
4.png,512,768,fft,29.832911771143724,2434.7665309906006,3134.035348892212,602.7841567993164,2.010822296142578
4.png,512,768,aan,27.83323347413813,295.7944869995117,980.4608821868896,587.2604846954346,3.0150413513183594
5.png,768,512,baseline,31.680160466409024,376.0199546813965,1207.9577445983887,738.0621433258057,2.4881362915039062
5.png,768,512,vectorized,31.680160466409024,274.90711212158203,1129.9030780792236,761.8920803070068,3.0705928802490234
5.png,768,512,direct,31.680160466409024,277.6939868927002,1091.8705463409424,718.550443649292,2.434253692626953
5.png,768,512,separable,31.680160466409024,27775.16460418701,28627.284288406372,756.8459510803223,2.0072460174560547
5.png,768,512,lut,31.680160466409024,96151.02481842041,96964.79749679565,717.4129486083984,3.021717071533203
5.png,768,512,fft,28.3315912474998,2427.668571472168,3312.0059967041016,785.3267192840576,2.245187759399414
5.png,768,512,aan,27.65940275999332,310.0466728210449,1133.4021091461182,727.2093296051025,2.5093555450439453
6.png,768,512,baseline,32.817056877942726,363.89803886413574,1100.672721862793,644.5102691650391,3.377676010131836
6.png,768,512,vectorized,32.817056877942726,255.47552108764648,995.1348304748535,642.6577568054199,3.2346248626708984
6.png,768,512,direct,32.817056877942726,255.16104698181152,1017.4031257629395,665.2231216430664,2.0074844360351562
6.png,768,512,separable,32.817056877942726,28059.519290924072,28795.773029327393,640.2180194854736,2.0074844360351562
6.png,768,512,lut,32.817056877942726,96196.14934921265,96904.45637702942,613.516092300415,2.472400665283203
6.png,768,512,fft,29.295040478715567,2460.6480598449707,3182.5361251831055,624.8140335083008,2.5136470794677734
6.png,768,512,aan,28.0338636860621,297.7583408355713,1015.4321193695068,620.5143928527832,1.5056133270263672
7.png,768,512,baseline,35.037452371225626,360.14795303344727,1049.5998859405518,594.3949222564697,2.662181854248047
7.png,768,512,vectorized,35.037452371225626,238.34705352783203,897.6123332977295,564.9557113647461,2.9478073120117188
7.png,768,512,direct,35.037452371225626,243.04962158203125,941.1828517913818,606.7249774932861,2.509593963623047
7.png,768,512,separable,35.037452371225626,27845.255613327026,28503.605127334595,563.2257461547852,2.529144287109375
7.png,768,512,lut,35.037452371225626,95884.9847316742,96584.13696289062,603.5690307617188,2.3343563079833984
7.png,768,512,fft,30.014397475100488,2418.2872772216797,3074.284791946411,561.2366199493408,2.5107860565185547
7.png,768,512,aan,28.303957244000337,281.22806549072266,976.2287139892578,601.2167930603027,3.0281543731689453
8.png,768,512,baseline,31.578179810604098,380.42187690734863,1167.7014827728271,691.169023513794,2.849578857421875
8.png,768,512,vectorized,31.578179810604098,270.1830863952637,1113.5270595550537,745.8066940307617,2.368450164794922
8.png,768,512,direct,31.578179810604098,272.81737327575684,1082.988977432251,714.0944004058838,3.1561851501464844
8.png,768,512,separable,31.578179810604098,28212.136268615723,29003.286361694336,696.4201927185059,1.5139579772949219
